GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spring-boot-first-project,org.example.dto.product,ProductDto,0,31,0,0,0,6,0,9,0,9
spring-boot-first-project,org.example.dto.product,ProductRequestDto,0,24,0,0,0,5,0,7,0,7
spring-boot-first-project,org.example.service.employee,EmployeeServiceImpl,4,208,0,12,1,38,1,18,1,12
spring-boot-first-project,org.example.exception.custom_exception,RegistrationException,0,5,0,0,0,2,0,1,0,1
spring-boot-first-project,org.example.exception.custom_exception,DeletionException,0,5,0,0,0,2,0,1,0,1
spring-boot-first-project,org.example.exception.custom_exception,AuthenticationException,0,5,0,0,0,2,0,1,0,1
spring-boot-first-project,org.example.exception.custom_exception,InvalidCategoryException,0,5,0,0,0,2,0,1,0,1
spring-boot-first-project,org.example.exception.custom_exception,InvalidParameterException,0,5,0,0,0,2,0,1,0,1
spring-boot-first-project,org.example.exception.custom_exception,EntityNotFoundException,0,5,0,0,0,2,0,1,0,1
spring-boot-first-project,org.example.exception.custom_exception,DateFormatException,0,5,0,0,0,2,0,1,0,1
spring-boot-first-project,org.example.exception.custom_exception,AuthorizationException,0,5,0,0,0,2,0,1,0,1
spring-boot-first-project,org.example.exception.custom_exception,InvalidProductException,0,5,0,0,0,2,0,1,0,1
spring-boot-first-project,org.example.exception.custom_exception,InvalidRoleException,0,5,0,0,0,2,0,1,0,1
spring-boot-first-project,org.example.repository.employee,EmployeeRepository,235,426,14,16,43,87,14,16,4,11
spring-boot-first-project,org.example.repository.employee,RoleRepository,0,44,0,0,0,9,0,3,0,3
spring-boot-first-project,org.example.config,SecurityConfig,6,67,0,0,2,16,1,6,1,6
spring-boot-first-project,org.example.config,DatabaseConfig,0,8,0,0,0,2,0,2,0,2
spring-boot-first-project,org.example.config,JacksonConfig,0,18,0,0,0,4,0,2,0,2
spring-boot-first-project,org.example.config,MapperConfig,3,0,0,0,1,0,1,0,1,0
spring-boot-first-project,org.example.config,OpenApiConfig,0,28,0,0,0,8,0,2,0,2
spring-boot-first-project,org.example.dto.employee.registration.annotation.field_match,FieldMatchValidator,0,43,0,6,0,12,0,6,0,3
spring-boot-first-project,org.example.service.store_product,StoreProductServiceImpl,0,157,0,12,0,30,0,23,0,17
spring-boot-first-project,org.example.service.store_product,BatchServiceImpl,0,21,0,0,0,4,0,3,0,3
spring-boot-first-project,org.example.dto.store_product.batch,BatchRequestDto,0,38,0,0,0,7,0,11,0,11
spring-boot-first-project,org.example.dto.store_product.batch,BatchDto,45,0,0,0,8,0,13,0,13,0
spring-boot-first-project,org.example.model.employee,Role,0,14,0,0,0,4,0,4,0,4
spring-boot-first-project,org.example.model.employee,Employee,0,109,0,0,0,21,0,33,0,33
spring-boot-first-project,org.example.model.employee,Role.RoleName,0,15,0,0,0,3,0,1,0,1
spring-boot-first-project,org.example.service.product,ProductServiceImpl,0,60,0,0,0,10,0,8,0,8
spring-boot-first-project,org.example.repository.store_product,BatchRepository,16,232,0,8,3,43,1,10,1,6
spring-boot-first-project,org.example.repository.store_product,StoreProductRepository,394,833,25,35,83,171,21,34,3,22
spring-boot-first-project,org.example.exception.handler,BaseServiceException,0,10,0,0,0,4,0,2,0,2
